emp_title,emp_length,state,homeownership,annual_income,verified_income,delinq_2y,months_since_last_delinq,num_historical_failed_to_pay,total_debit_limit,account_never_delinq_percent,public_record_bankrupt,loan_purpose,application_type,loan_amount,term,interest_rate,installment,loan_status,balance,paid_total,paid_principal,paid_interest,paid_late_fees
facility maintanace,3,MO,RENT,39000,Verified,0,NA,1,12900,100,1,credit_card,individual,16000,36,12.61,536.11,Current,14884.43,1585.91,1115.57,470.34,0
mechanical engineer,0,CA,MORTGAGE,88000,Not Verified,0,NA,0,72700,100,0,credit_card,individual,16800,36,7.97,526.22,Current,6545.58,10604.7,10254.42,350.28,0
assistant property manager,0,CA,RENT,55000,Source Verified,2,21,0,14500,94.4,0,debt_consolidation,individual,4800,36,17.47,172.26,Current,4488.37,512.12,311.63,200.49,0
mro supervisor,6,CA,OWN,90000,Not Verified,0,NA,0,45400,100,0,credit_card,individual,22000,36,14.08,752.77,Current,19470.5,3746.64,2529.5,1217.14,0
,NA,TN,MORTGAGE,14928,Verified,0,NA,1,2300,100,1,debt_consolidation,individual,4600,36,19.42,169.6,Fully Paid,0,4732.666267,4600,132.67,0
director of nursing ,10,IN,MORTGAGE,86000,Not Verified,0,NA,0,54500,100,0,debt_consolidation,individual,18000,36,6.72,553.49,Current,15711.06,2754.01,2288.94,465.07,0
financial aide accounts technician,9,NC,MORTGAGE,32500,Not Verified,0,27,0,10300,81.8,0,home_improvement,joint,12000,36,11.99,398.52,Current,10868.71,1586.09,1131.29,454.8,0
manager,10,MD,MORTGAGE,164200,Source Verified,1,15,0,14500,84.6,0,debt_consolidation,individual,15000,60,19.42,392.59,Current,14543.17,1145.4,456.83,688.57,0
rn,3,GA,MORTGAGE,65000,Source Verified,0,NA,0,22200,100,0,debt_consolidation,joint,30000,60,28.72,947.15,Current,29049.97,3740.73,950.03,2790.7,0
regional it security manager,1,NV,OWN,93844,Not Verified,0,75,0,1000,96.6,0,home_improvement,individual,16000,60,19.42,418.76,Fully Paid,0,16574.13566,16000,574.14,0
planner,10,GA,MORTGAGE,82000,Source Verified,0,NA,0,10500,100,0,home_improvement,joint,30000,60,12.61,676.62,Current,28904.46,1987.83,1095.54,892.29,0
senior manager,0,PA,MORTGAGE,150000,Source Verified,0,24,0,143100,92.9,0,moving,individual,24000,60,9.44,503.35,Current,21181.78,3689.61,2818.22,871.39,0
training developer,10,AZ,MORTGAGE,70000,Not Verified,1,22,0,34100,90.3,0,credit_card,individual,10800,60,13.58,248.96,Current,10415.46,730.58,384.54,346.04,0
radio operator,3,VA,RENT,24000,Verified,0,NA,0,0,100,0,other,individual,19000,60,21.85,523.15,Current,18642.39,1000.17,357.61,642.56,0
president,8,CA,RENT,200000,Verified,1,9,2,12800,81.8,1,major_purchase,individual,28350,36,12.62,950.05,Current,25021.2,4730.37,3328.8,1401.57,0
manager,1,NY,RENT,50000,Not Verified,0,49,0,4200,90.9,0,credit_card,individual,2000,36,14.07,68.43,Current,1863.47,203.73,136.53,67.2,0
sr admin specialist,10,PA,MORTGAGE,69000,Not Verified,0,NA,1,35500,100,1,credit_card,individual,22000,36,6.72,676.49,Current,20330.81,2037.69,1669.19,368.5,0
supeintendent,6,AZ,RENT,885000,Source Verified,0,NA,1,12400,100,1,other,individual,7000,36,14.08,239.52,Current,6194.38,1192.12,805.62,386.5,0
st fraud specialist,10,MN,MORTGAGE,72000,Source Verified,0,28,0,15100,94.1,0,other,individual,10000,60,9.43,209.68,Current,9603.61,618.56,396.39,222.17,0
manager,10,IL,MORTGAGE,35000,Not Verified,0,NA,0,21800,100,0,debt_consolidation,individual,5000,36,16.01,175.81,Current,4668.31,518.54,331.69,186.85,0
funding manager,10,CA,MORTGAGE,72000,Not Verified,0,NA,1,8500,100,1,other,individual,4000,36,10.41,129.85,Current,3712.07,387.24,287.93,99.31,0
loan officer assistant,5,VA,MORTGAGE,92000,Verified,0,38,0,47000,96.4,0,credit_card,joint,19325,60,13.59,445.57,Current,18165.46,2213.26,1159.54,1053.72,0
owner,10,FL,OWN,93707,Verified,4,5,0,2700,70.6,0,credit_card,individual,12000,36,11.99,398.52,Current,11155.76,1234.14,844.24,389.9,0
animal groomer,2,IN,MORTGAGE,64000,Not Verified,0,NA,0,11600,100,0,debt_consolidation,individual,2000,36,10.42,64.93,Current,1758.02,323.49,241.98,81.51,0
owner,2,NC,OWN,44500,Source Verified,0,NA,0,44100,100,0,credit_card,individual,12800,36,18.06,463.14,In Grace Period,11694.87,1839.72,1105.13,734.59,0
counselor,2,LA,MORTGAGE,83000,Verified,0,NA,0,12500,100,0,medical,joint,7000,36,6.71,215.22,Fully Paid,0,7028.703333,7000,28.7,0
supervisor,4,CA,RENT,47800,Source Verified,0,NA,0,20700,100,0,credit_card,individual,8000,36,13.59,271.84,Current,7262.63,1081.32,737.37,343.95,0
operations manager,2,NC,MORTGAGE,62000,Source Verified,2,8,0,8400,86.7,0,debt_consolidation,individual,25000,60,21.45,682.68,Current,24279.86,2018.25,720.14,1298.11,0
,NA,NY,OWN,90000,Verified,0,NA,0,74000,100,0,other,individual,8000,36,15.05,277.52,Current,7277.81,1103.39,722.19,381.2,0
family nurse practitioner,10,AK,MORTGAGE,140000,Not Verified,0,NA,0,116800,100,0,home_improvement,individual,40000,60,7.35,798.67,Current,37197.53,3960.68,2802.47,1158.21,0
truck driver,10,PA,OWN,74000,Verified,0,NA,0,31800,100,0,credit_card,individual,20000,60,17.47,502.12,Current,19357.88,1486.95,642.12,844.83,0
city councilor ,8,MA,RENT,60000,Not Verified,0,NA,0,59400,100,0,debt_consolidation,individual,10975,36,6.07,334.23,Current,10134.61,999,840.39,158.61,0
program chair,5,AL,MORTGAGE,110000,Not Verified,0,NA,0,29700,100,0,debt_consolidation,individual,7800,36,21.45,295.68,Current,6990.29,1469.1,809.71,659.39,0
landfill attendant,1,WA,MORTGAGE,60000,Verified,0,44,0,23000,91.7,0,debt_consolidation,individual,20000,60,26.3,602.37,Current,19322.09,2351.04,677.91,1673.13,0
farm manager,3,OR,MORTGAGE,80000,Not Verified,0,NA,0,10700,100,0,major_purchase,individual,10000,36,7.97,313.23,Current,9002.87,1248.49,997.13,251.36,0
pre verification specialist,8,NC,RENT,42000,Source Verified,0,58,0,7000,90.9,0,debt_consolidation,individual,10000,36,16.02,351.67,Current,8879.63,1736.1,1120.37,615.73,0
certified nurse assistant ,10,VA,OWN,33600,Verified,0,34,0,8000,86.5,0,credit_card,individual,7500,36,14.08,256.63,Current,6636.82,1236.22,863.18,373.04,0
fork lift driver,5,NC,OWN,60000,Source Verified,0,NA,0,18000,100,0,credit_card,individual,10000,60,11.99,222.4,Late (31-120 days),10000,0,0,0,0
surgical tech,3,AZ,MORTGAGE,40000,Source Verified,0,44,0,11800,76.9,0,credit_card,joint,15700,60,17.09,390.95,Current,14735.3,2039.84,964.7,1075.14,0
,NA,PA,RENT,25000,Not Verified,0,NA,0,7200,100,0,debt_consolidation,joint,25600,60,17.09,637.47,Current,24484.93,2525.57,1115.07,1410.5,0
"receptionist, intake,driver",2,OH,RENT,29760,Source Verified,0,79,0,8000,95.5,0,debt_consolidation,joint,24600,36,26.3,995.09,Current,22715.4,3944.42,1884.6,2059.82,0
research associate,7,CA,RENT,56000,Not Verified,0,NA,0,11200,100,0,debt_consolidation,individual,8300,36,6.07,252.77,Current,7664.44,752.71,635.56,117.15,0
"director, enterprise solutions",2,PA,RENT,125000,Not Verified,0,NA,0,61200,100,0,debt_consolidation,individual,18000,60,7.96,364.64,Current,17259.39,1085.96,740.61,345.35,0
parts manager,2,ME,RENT,53000,Not Verified,0,35,0,18100,90.9,0,debt_consolidation,individual,7500,36,17.09,267.74,Current,6672.11,1363.63,827.89,535.74,0
machinen operarto cnc,10,CA,RENT,60000,Source Verified,0,NA,0,12100,100,0,other,individual,20400,36,6.07,621.26,Current,19361.23,1287.24,1038.77,248.47,0
licensed optician ,10,KY,MORTGAGE,50000,Verified,0,NA,1,12900,100,1,debt_consolidation,individual,12000,60,13.58,276.62,Current,11572.74,820.81,427.26,393.55,0
attorney ,10,CA,OWN,600000,Verified,0,NA,0,119200,100,0,major_purchase,joint,9000,36,5.31,271,Current,8303.95,818.31,696.05,122.26,0
owner,10,MO,MORTGAGE,100000,Source Verified,0,NA,0,25000,100,0,credit_card,individual,40000,36,10.91,1307.85,Current,35192.46,6515.01,4807.54,1707.47,0
it analyst,7,NY,MORTGAGE,146000,Not Verified,0,NA,0,22900,100,0,credit_card,individual,25000,36,6.07,761.35,Current,23085.67,2267.19,1914.33,352.86,0
it specialist,5,MD,RENT,90000,Source Verified,0,NA,1,24700,100,0,debt_consolidation,joint,3000,36,11.98,99.62,Current,2788.9,294.87,211.1,83.77,0
general manager,2,MO,MORTGAGE,65000,Verified,0,NA,0,5000,100,0,other,joint,40000,60,9.44,838.91,Current,37878.15,3334.66,2121.85,1212.81,0
sr shelf edge analyst,10,IL,RENT,47000,Not Verified,0,NA,0,5100,100,0,medical,individual,12000,60,15.05,285.8,Current,11306.32,1408.93,693.68,715.25,0
itd,5,OH,MORTGAGE,96000,Not Verified,0,NA,0,61700,100,0,credit_card,joint,40000,36,7.34,1241.32,Current,38000.6,2466.33,1999.4,466.93,0
project manager,0,CA,MORTGAGE,65000,Not Verified,0,30,0,7900,84.2,0,debt_consolidation,individual,6000,36,10.41,194.77,Current,5713.32,386.07,286.68,99.39,0
electronics technician,10,FL,MORTGAGE,55000,Not Verified,0,44,0,22500,77.8,0,debt_consolidation,joint,28000,36,13.58,951.28,Current,26075.13,2758.79,1924.87,833.92,0
,NA,WA,RENT,29000,Source Verified,0,NA,1,5900,100,1,credit_card,individual,14000,36,9.43,448.01,Current,12632.01,1784.71,1367.99,416.72,0
assistant store  manager,10,FL,MORTGAGE,49000,Not Verified,0,39,0,18600,88.9,0,debt_consolidation,individual,26400,60,11.98,586.99,Current,25419.99,1743.4,980.01,763.39,0
registered nurse,0,RI,OWN,55000,Source Verified,0,NA,0,24700,100,0,credit_card,individual,25000,36,15.04,867.13,Current,23317.7,2559.61,1682.3,877.31,0
cantor,10,MI,MORTGAGE,240000,Source Verified,1,20,1,58600,93.9,0,major_purchase,individual,30000,36,12.62,1005.34,Current,27196.8,4137.3,2803.2,1334.1,0
director of operations,4,OH,MORTGAGE,80000,Verified,0,NA,0,15500,100,0,debt_consolidation,individual,12000,36,7.96,375.82,Current,11105.43,1122.15,894.57,227.58,0
software tech,10,MN,RENT,75000,Not Verified,1,8,0,12200,88,0,debt_consolidation,individual,9800,36,15.05,339.97,Current,8915.28,1351.69,884.72,466.97,0
butcher,10,NY,RENT,55000,Not Verified,0,63,0,11500,94.4,0,credit_card,individual,15000,36,7.97,469.84,Current,13504.32,1862.76,1495.68,367.08,0
clinical manager,4,GA,MORTGAGE,35000,Source Verified,0,NA,0,3600,100,0,other,individual,3025,36,9.43,96.81,Current,1789.17,1288.85,1235.83,53.02,0
pharmacy technician,1,IL,OWN,55000,Not Verified,0,26,1,9200,86.4,1,debt_consolidation,individual,2500,36,11.99,83.03,Current,2264.29,328.79,235.71,93.08,0
civil engineer 2,10,NY,OWN,95543,Source Verified,0,40,0,44000,95.8,0,home_improvement,individual,36000,36,6.08,1096.5,Current,32315.72,4373.84,3684.28,689.56,0
it manager,3,CA,OWN,50000,Source Verified,1,23,1,40500,94.1,0,credit_card,individual,24000,36,11.99,797.03,Current,21157.61,3969.16,2842.39,1126.77,0
accountant,4,IL,RENT,54500,Verified,0,NA,1,26500,100,1,debt_consolidation,individual,24000,60,18.45,615.34,Current,23249.56,1796.82,750.44,1046.38,0
wheel tech,1,MO,OWN,55000,Not Verified,0,35,0,5000,93.1,0,debt_consolidation,individual,5000,36,11.98,166.03,Current,4648.17,491.43,351.83,139.6,0
network operations center analyst,10,CA,RENT,60000,Source Verified,0,25,0,12800,84.6,0,credit_card,individual,9600,36,21.85,365.89,Fully Paid,0,10074.28539,9600,474.29,0
ramp lead,3,FL,RENT,48000,Source Verified,0,NA,0,25700,100,0,car,individual,4800,36,10.42,155.84,Late (16-30 days),4454.54,461.96,345.46,116.5,0
sales,10,GA,MORTGAGE,151000,Verified,1,5,0,55600,98.3,0,home_improvement,individual,20000,60,17.09,498.02,Current,19128.86,1973.09,871.14,1101.95,0
staffing consultant,0,CA,RENT,40000,Not Verified,0,NA,0,7500,100,0,credit_card,individual,3000,36,9.92,96.69,Current,2855.63,190.07,144.37,45.7,0
aircraft technician,10,NY,RENT,120000,Not Verified,1,13,0,2500,73.9,0,credit_card,individual,29000,36,10.42,941.48,Current,25491.28,4690.61,3508.72,1181.89,0
engineering technician ,2,NV,MORTGAGE,75000,Source Verified,0,NA,1,15600,100,1,home_improvement,individual,3000,36,9.93,96.71,Fully Paid,0,3100.028755,3000,100.03,0
,NA,MI,MORTGAGE,17000,Verified,0,NA,0,0,100,0,home_improvement,joint,2700,36,12.62,90.49,Current,2382.93,447.72,317.07,130.65,0
senior manager,5,NY,RENT,127000,Source Verified,0,NA,0,21500,100,0,debt_consolidation,individual,16000,36,13.59,543.67,Current,13762.67,3171.42,2237.33,934.09,0
driver,3,MS,MORTGAGE,135000,Not Verified,0,NA,0,9700,100,0,small_business,joint,13000,36,11.99,431.73,Current,11460.35,2137,1539.65,597.35,0
supervisor,10,WA,MORTGAGE,138000,Not Verified,0,NA,0,60900,100,0,home_improvement,individual,14400,36,11.99,478.22,Current,13042.46,1903.29,1357.54,545.75,0
associate project manager,5,WA,RENT,90000,Verified,0,NA,0,58000,100,0,credit_card,individual,8000,36,16.02,281.34,Current,7103.69,1399.58,896.31,503.27,0
assistant head,3,WA,RENT,105000,Not Verified,0,NA,0,59700,100,0,debt_consolidation,joint,25000,36,6.72,768.74,Current,23103.19,2348.23,1896.81,451.42,0
sales,5,CA,OWN,100000,Not Verified,0,64,0,15400,88.9,0,debt_consolidation,individual,28000,36,18.06,1013.12,Current,25579.15,4024.39,2420.85,1603.54,0
writer producer scripps interactive,7,NY,RENT,90000,Not Verified,8,20,0,0,57.9,0,home_improvement,individual,3000,36,9.43,96.01,Current,2706.83,380.9,293.17,87.73,0
principal secretary ,9,CA,RENT,40000,Verified,0,NA,0,1000,100,0,debt_consolidation,individual,24000,60,25.82,716.02,Current,22958.01,3511.25,1041.99,2469.26,0
escrow officer,7,CA,MORTGAGE,68000,Not Verified,0,NA,1,5200,100,1,home_improvement,joint,24000,36,6.71,737.88,Current,22178.81,2195.75,1821.19,374.56,0
,NA,WI,MORTGAGE,75000,Not Verified,1,14,0,85900,94.7,0,credit_card,individual,20000,36,5.32,602.3,Current,17408.96,2999.68,2591.04,408.64,0
,NA,AL,OWN,3000,Verified,0,NA,0,26400,100,0,debt_consolidation,joint,7000,36,7.97,219.26,In Grace Period,6479.7,707.93,520.3,157.63,30
technician,8,OH,OWN,120000,Not Verified,2,11,0,11600,78.6,0,debt_consolidation,individual,12000,36,9.44,384.06,Current,10528.73,1904.57,1471.27,433.3,0
painter/blaster,2,LA,OWN,45000,Source Verified,0,NA,0,2500,100,0,other,individual,11200,36,12.62,375.33,Current,10153.46,1469.92,1046.54,423.38,0
account manager,2,GA,MORTGAGE,68000,Source Verified,0,NA,0,30300,100,0,other,individual,38400,36,7.34,1191.66,Current,34537.62,4750.98,3862.38,888.6,0
oven operator ,10,FL,MORTGAGE,60000,Verified,0,34,2,8300,100,0,debt_consolidation,individual,18000,36,10.42,584.37,Current,15822.16,2901.01,2177.84,723.17,0
line cook,0,IL,RENT,15984,Source Verified,0,NA,0,4300,100,0,debt_consolidation,individual,2000,36,14.07,68.43,Current,1812.25,253.73,187.75,65.98,0
sales manager ,10,TX,MORTGAGE,67000,Source Verified,0,56,0,16500,100,0,vacation,individual,13000,36,13.58,441.67,Current,12407.56,863.72,592.44,271.28,0
,NA,MA,OWN,30000,Not Verified,0,28,1,13700,83.3,1,credit_card,individual,8000,36,9.44,256.04,Current,7014.88,1219.96,985.12,234.84,0
driver,2,WA,RENT,54000,Verified,0,NA,0,12600,100,0,other,individual,17000,36,14.08,581.69,Current,15443.99,2293.52,1556.01,737.51,0
executive assistant,9,NY,MORTGAGE,90000,Source Verified,0,NA,0,7200,100,0,debt_consolidation,individual,40000,60,16.01,972.94,Late (16-30 days),39115.59,1910.3,884.41,1025.89,0
mamager,9,NY,RENT,25000,Not Verified,0,NA,0,1500,100,0,moving,individual,1000,36,22.9,38.66,Current,940.14,113.44,59.86,53.58,0
it system administrator,7,CA,RENT,72000,Not Verified,0,NA,0,20000,100,0,debt_consolidation,individual,6800,36,17.09,242.75,Current,6203.79,964.54,596.21,368.33,0
concierge specialist,1,HI,RENT,67000,Source Verified,0,NA,1,35000,100,1,credit_card,individual,35000,60,16.01,851.32,Current,33831.46,2522.83,1168.54,1354.29,0
therapist,9,GA,MORTGAGE,80000,Not Verified,0,78,0,19600,100,0,credit_card,individual,24000,36,10.91,784.71,Current,22284.97,2397.77,1715.03,682.74,0
buyer,10,CA,RENT,75000,Source Verified,1,22,0,8500,90.9,0,debt_consolidation,individual,15000,36,16.01,527.43,Current,14004.93,1568.95,995.07,573.88,0
principal customer care analyst,10,MD,MORTGAGE,130000,Not Verified,1,19,0,218200,96.6,0,credit_card,individual,5000,36,6.72,153.75,Current,4364.17,765.02,635.83,129.19,0
office manager,10,PA,RENT,87040,Source Verified,0,NA,1,2000,100,1,other,individual,25000,60,15.04,595.28,Current,24143.51,1764.95,856.49,908.46,0
software engineer,0,NJ,RENT,140000,Source Verified,0,NA,0,59600,100,0,debt_consolidation,individual,25000,36,14.08,855.42,Current,22122.84,4237.99,2877.16,1360.83,0
customer management ,10,AZ,MORTGAGE,51000,Verified,0,72,1,10000,96.4,1,debt_consolidation,individual,15400,36,17.09,549.75,Fully Paid,0,16110.20847,15400,710.21,0
principal user experience engineer,2,CA,RENT,162000,Source Verified,0,NA,2,35700,88.9,0,debt_consolidation,individual,40000,36,9.44,1280.2,Current,35095.78,6380.02,4904.22,1475.8,0
millwright,6,TX,OWN,80000,Source Verified,0,36,0,15600,94.1,0,major_purchase,individual,10000,60,14.07,233.05,Current,9648.51,691.33,351.49,339.84,0
foreman,9,CA,RENT,125000,Source Verified,0,NA,0,39800,100,0,debt_consolidation,individual,20250,36,16.02,712.13,Current,17981.27,3542.63,2268.73,1273.9,0
quality manager,6,LA,MORTGAGE,75000,Source Verified,0,NA,0,34400,100,0,other,individual,12000,36,5.31,361.33,Current,11382.18,719.12,617.82,101.3,0
area sales manager,10,FL,MORTGAGE,183000,Not Verified,0,NA,0,102200,100,0,debt_consolidation,individual,7200,36,6.72,221.4,Current,6469.57,878.88,730.43,148.45,0
help desk,0,NC,MORTGAGE,43000,Not Verified,0,NA,0,35000,100,0,credit_card,individual,10000,36,5.32,301.15,Current,8704.48,1502.79,1295.52,207.27,0
operations manager,1,TX,RENT,55000,Not Verified,0,36,0,22100,93.8,0,credit_card,individual,15000,60,9.93,318.19,Current,14013.48,1628.19,986.52,641.67,0
maint mannager,3,TX,MORTGAGE,105000,Not Verified,0,33,1,7700,57.6,0,other,individual,10000,36,9.93,322.35,Current,8782.01,1606.23,1217.99,388.24,0
case manager ,2,FL,MORTGAGE,80000,Verified,0,49,0,9400,70.6,0,home_improvement,individual,11000,60,13.59,253.62,Current,10474.99,1006.18,525.01,481.17,0
federal work-study,4,CO,MORTGAGE,5235,Source Verified,0,NA,0,10500,100,0,debt_consolidation,individual,3000,36,10.9,98.08,Current,2094.52,990.5,905.48,85.02,0
project manager/ developer,5,TX,MORTGAGE,115000,Verified,0,NA,1,32700,100,1,debt_consolidation,individual,25000,60,13.59,576.41,Current,23394.82,2963.17,1605.18,1357.99,0
digital content specialist,0,VA,RENT,50000,Not Verified,0,NA,0,14000,100,0,credit_card,individual,7000,36,6.72,215.25,Current,6289.86,858.39,710.14,148.25,0
teacher ,10,MA,MORTGAGE,80000,Not Verified,0,25,0,12500,90.9,0,debt_consolidation,individual,6050,36,10.42,196.42,Current,4073.53,2178.6,1976.47,202.13,0
waitress,3,MA,RENT,60000,Not Verified,0,44,0,5800,88.9,0,other,individual,10000,36,14.07,342.12,Current,9317.45,995.09,682.55,312.54,0
technical support manager,10,CO,RENT,130000,Source Verified,0,26,0,32700,100,0,credit_card,individual,30000,36,16.02,1055.01,Current,27329.07,4166.64,2670.93,1495.71,0
receptionist ,1,AL,RENT,70000,Source Verified,1,23,0,45000,97.2,0,debt_consolidation,joint,4000,36,15.05,138.76,Current,3545.78,687.11,454.22,232.89,0
sr operations analyst,10,OR,RENT,72672,Source Verified,0,45,1,37600,76.9,0,debt_consolidation,individual,5500,36,18.45,200.09,Current,5267.17,388.9,232.83,156.07,0
maintenance,10,NY,MORTGAGE,52000,Verified,0,NA,0,3000,100,0,credit_card,individual,6975,36,13.59,237.01,Current,6332.11,966.47,642.89,323.58,0
tech suppo,10,CO,RENT,56000,Source Verified,2,6,0,3200,90.5,0,debt_consolidation,individual,10000,60,16.01,243.24,Current,9666.11,711.93,333.89,378.04,0
loan originator,2,NY,RENT,107000,Not Verified,0,NA,1,31100,100,1,debt_consolidation,individual,20000,60,15.04,476.22,Current,19314.82,1411.95,685.18,726.77,0
technology coordinator ,10,GA,RENT,61582,Not Verified,0,NA,0,42400,100,0,moving,individual,15000,60,19.03,389.36,Late (16-30 days),14538.3,1152.22,461.7,690.52,0
director of it,10,LA,MORTGAGE,105000,Source Verified,0,NA,0,107700,100,0,other,individual,40000,60,7.35,798.67,Current,37764.89,3178.35,2235.11,943.24,0
fire captain ,10,CA,MORTGAGE,130000,Not Verified,0,68,2,7000,83.3,2,other,joint,10000,36,9.43,320.01,Current,9270.01,949.55,729.99,219.56,0
assistant teacher,10,NY,RENT,54200,Not Verified,0,NA,0,51900,100,0,credit_card,individual,13500,36,7.97,422.86,Current,11811.74,2102.34,1688.26,414.08,0
showroom manager,2,NY,MORTGAGE,90000,Verified,1,4,0,21050,92,0,home_improvement,individual,10000,60,20.39,267.12,Current,9703.41,778.7,296.59,482.11,0
security tech,1,CA,RENT,95000,Source Verified,0,NA,0,7800,100,0,debt_consolidation,individual,40000,60,10.42,858.18,Current,37407.68,4310.65,2592.32,1675.42,42.91
automation engineer,2,MA,RENT,115200,Source Verified,0,NA,0,109300,100,0,credit_card,joint,20000,36,7.97,626.46,Current,17498.86,3114.59,2501.14,613.45,0
,NA,GA,MORTGAGE,48000,Verified,0,NA,0,38700,100,0,debt_consolidation,individual,10000,60,7.34,199.63,Current,9582.06,594.81,417.94,176.87,0
admin assistant,0,FL,RENT,54500,Source Verified,0,NA,0,26400,100,0,other,individual,15000,60,11.98,333.52,Fully Paid,0,15104.82167,15000,104.82,0
"system manager, quality- rn",10,IN,OWN,82000,Not Verified,0,NA,0,18100,100,0,credit_card,individual,8000,36,12.62,268.09,Current,7252.48,1066.75,747.52,319.23,0
admin assistant,1,WA,MORTGAGE,39000,Source Verified,0,49,1,5600,94.4,1,credit_card,individual,7000,36,15.05,242.83,Current,6368.08,959.61,631.92,327.69,0
loan administrator,3,IL,RENT,80000,Source Verified,0,30,0,7500,57.7,0,major_purchase,joint,9000,36,10.91,294.27,Fully Paid,0,9218.614106,9000,218.61,0
operator,5,OH,MORTGAGE,94000,Not Verified,0,NA,1,26100,100,1,debt_consolidation,individual,22000,60,11.99,489.27,Current,21183.72,1453.16,816.28,636.88,0
cooler service technician,8,CA,RENT,45000,Not Verified,0,NA,0,45900,100,0,debt_consolidation,individual,15500,36,9.44,496.08,Current,13599.6,2504.79,1900.4,604.39,0
recruiter ,1,CA,RENT,50000,Source Verified,1,17,0,8700,90.9,0,debt_consolidation,individual,9500,36,9.92,306.19,Current,8811.37,913.33,688.63,224.7,0
unit clerk,10,NY,RENT,54000,Verified,0,NA,1,18900,100,1,debt_consolidation,individual,10000,36,19.42,368.69,Current,9369.33,1095.28,630.67,464.61,0
project lead in it,10,CA,OWN,120000,Source Verified,0,NA,0,117800,100,0,debt_consolidation,individual,10000,60,12.62,225.6,Current,9400.61,994.87,599.39,395.48,0
communication agent,10,CA,RENT,48000,Not Verified,0,NA,0,10000,100,0,debt_consolidation,individual,4000,36,14.07,136.85,Current,3633.82,541.15,366.18,174.97,0
physician ,5,VA,MORTGAGE,190000,Not Verified,0,NA,1,18800,78,1,debt_consolidation,individual,24300,36,14.08,831.47,Current,22075.84,3278.36,2224.16,1054.2,0
construction inspector ii,10,CA,OWN,85000,Source Verified,0,NA,0,54900,100,0,credit_card,individual,35000,36,12.61,1172.73,Current,32559.72,3493.67,2440.28,1053.39,0
executive assistant to the dean,0,CA,OWN,65000,Not Verified,0,NA,0,32200,100,0,debt_consolidation,individual,10000,36,9.93,322.35,Current,8782,1562.11,1218,344.11,0
senior regional property manager,10,VA,MORTGAGE,119000,Source Verified,0,NA,0,35800,100,0,debt_consolidation,individual,30000,60,26.3,903.55,Current,28982.97,3526.53,1017.03,2509.5,0
developmental specialist,6,OH,MORTGAGE,45000,Source Verified,0,NA,1,15300,100,1,debt_consolidation,joint,12000,60,13.59,276.68,Current,11427.24,1029.71,572.76,456.95,0
teacher,10,CA,MORTGAGE,90000,Source Verified,0,NA,0,11500,100,0,credit_card,joint,17000,36,9.93,547.99,Current,15350.41,2182.58,1649.59,532.99,0
maintenance mechanic/control specialist ,8,CO,MORTGAGE,101000,Not Verified,0,NA,0,10400,100,0,credit_card,individual,10000,36,5.31,301.11,Current,9226.01,900.38,773.99,126.39,0
territorial sales rep,3,CA,RENT,75000,Not Verified,0,NA,0,27800,100,0,debt_consolidation,individual,10000,36,6.71,307.45,Current,9141.12,1014.89,858.88,156.01,0
senior analyst,3,WA,MORTGAGE,35000,Source Verified,0,51,0,4700,90.3,0,debt_consolidation,joint,5800,36,14.08,198.46,Current,5269.12,789.3,530.88,258.42,0
sales consultant ,2,NH,MORTGAGE,95000,Source Verified,1,16,1,20000,90,1,major_purchase,individual,35000,36,9.92,1128.04,Current,32463.02,3364.83,2536.98,827.85,0
sales,10,KY,OWN,40000,Source Verified,0,NA,0,25800,100,0,credit_card,joint,13500,60,9.44,283.13,Current,12601.51,1408.57,898.49,510.08,0
,NA,NJ,OWN,100000,Not Verified,0,27,0,23600,94.1,0,debt_consolidation,individual,20000,36,9.93,644.69,Current,17564.07,3201.38,2435.93,765.45,0
teachrr,10,FL,RENT,100000,Not Verified,0,51,0,32500,95,0,major_purchase,individual,7000,36,10.42,227.26,Current,6325.36,905,674.64,230.36,0
vice president,10,CA,MORTGAGE,108367,Not Verified,2,4,0,25000,89.3,0,home_improvement,individual,12000,36,14.08,410.6,Current,10901.66,1633.01,1098.34,534.67,0
,NA,OK,MORTGAGE,25000,Verified,0,NA,0,54600,100,0,debt_consolidation,joint,17275,36,7.35,536.18,Fully Paid,0,17645.95086,17275,370.95,0
assistant managee,4,NY,RENT,78000,Source Verified,0,NA,0,39700,100,0,home_improvement,individual,35000,60,17.09,871.54,Current,33476.4,3419.7,1523.6,1896.1,0
yard driver,10,CO,MORTGAGE,48000,Source Verified,0,57,0,6300,93.8,0,debt_consolidation,joint,3000,36,19.03,110.02,Current,2677.71,546.93,322.29,224.64,0
,NA,FL,RENT,16752,Not Verified,0,37,0,7600,88.9,0,debt_consolidation,individual,10000,36,19.42,368.69,Current,9582.93,791.33,417.07,374.26,0
sales,10,IL,MORTGAGE,175000,Source Verified,0,NA,0,119600,100,0,debt_consolidation,individual,40000,60,9.93,848.51,Current,37904.12,3371.97,2095.88,1276.09,0
,NA,CA,RENT,18348,Not Verified,1,8,0,16300,83,0,other,individual,2000,36,10.42,64.93,Current,1758.02,323.49,241.98,81.51,0
manager,2,NC,MORTGAGE,90000,Source Verified,0,NA,0,27300,100,0,debt_consolidation,individual,33600,60,13.59,774.69,Current,31996.33,3073.39,1603.67,1469.72,0
